FIELD,INCOME_GROUP,ntotal_gender,n_men,n_women,n_nogender,Model,n_total_models,percent_model
 Multidisciplinary,High,337,227,10,100,Closed Access,409,0.824
 Multidisciplinary,High,72,48,3,21,Open Access,409,0.176
Health Sciences,High,86170,42543,13926,29701,Closed Access,124169,0.694
Health Sciences,High,37713,19912,7501,10300,Open Access,124169,0.304
Health Sciences,High,286,106,67,113,Not given,124169,0.002
Life Sciences,High,68516,36218,12662,19636,Closed Access,102374,0.669
Life Sciences,High,33435,18024,7178,8233,Open Access,102374,0.327
Life Sciences,High,423,217,80,126,Not given,102374,0.004
Physical Sciences,High,105671,54810,13620,37241,Closed Access,156616,0.675
Physical Sciences,High,49250,25967,6018,17265,Open Access,156616,0.314
Physical Sciences,High,1695,903,240,552,Not given,156616,0.011
Social Sciences,High,46026,15604,6800,23622,Closed Access,69578,0.662
Social Sciences,High,23342,9319,3320,10703,Open Access,69578,0.335
Social Sciences,High,210,64,29,117,Not given,69578,0.003
Health Sciences,Low,124,29,11,84,Closed Access,170,0.729
Health Sciences,Low,46,6,5,35,Open Access,170,0.271
Life Sciences,Low,293,93,20,180,Closed Access,376,0.779
Life Sciences,Low,68,16,5,47,Open Access,376,0.181
Physical Sciences,Low,348,81,11,256,Closed Access,419,0.831
Physical Sciences,Low,64,8,1,55,Open Access,419,0.153
Social Sciences,Low,107,21,1,85,Closed Access,154,0.695
Social Sciences,Low,45,10,4,31,Open Access,154,0.292
Life Sciences,Low,15,6,0,9,Not given,376,0.04
Physical Sciences,Low,7,3,0,4,Not given,419,0.017
 Multidisciplinary,Low,1,0,0,1,Closed Access,1,1
Social Sciences,Low,2,0,0,2,Not given,154,0.013
 Multidisciplinary,Lower Middle,455,166,29,260,Closed Access,481,0.946
 Multidisciplinary,Lower Middle,26,16,1,9,Open Access,481,0.054
Health Sciences,Lower Middle,6126,2592,608,2926,Closed Access,6814,0.899
Health Sciences,Lower Middle,672,272,69,331,Open Access,6814,0.099
Health Sciences,Lower Middle,16,7,1,8,Not given,6814,0.002
Life Sciences,Lower Middle,12910,5626,1355,5929,Closed Access,14300,0.903
Life Sciences,Lower Middle,1138,460,144,534,Open Access,14300,0.08
Life Sciences,Lower Middle,252,102,11,139,Not given,14300,0.018
Physical Sciences,Lower Middle,42528,16506,3049,22973,Closed Access,45330,0.938
Physical Sciences,Lower Middle,2505,1143,191,1171,Open Access,45330,0.055
Physical Sciences,Lower Middle,297,91,15,191,Not given,45330,0.007
Social Sciences,Lower Middle,3072,1003,251,1818,Closed Access,3392,0.906
Social Sciences,Lower Middle,307,126,21,160,Open Access,3392,0.091
Social Sciences,Lower Middle,13,1,2,10,Not given,3392,0.004
 Multidisciplinary,Upper middle,1042,378,202,462,Closed Access,1085,0.96
 Multidisciplinary,Upper middle,43,13,10,20,Open Access,1085,0.04
Health Sciences,Upper middle,24292,9721,6094,8477,Closed Access,28104,0.864
Health Sciences,Upper middle,3388,1455,895,1038,Open Access,28104,0.121
Health Sciences,Upper middle,424,143,154,127,Not given,28104,0.015
Life Sciences,Upper middle,56320,21823,15473,19024,Closed Access,63695,0.884
Life Sciences,Upper middle,6273,2468,1802,2003,Open Access,63695,0.098
Life Sciences,Upper middle,1102,378,361,363,Not given,63695,0.017
Physical Sciences,Upper middle,162297,62934,37079,62284,Closed Access,177380,0.915
Physical Sciences,Upper middle,12335,5349,2379,4607,Open Access,177380,0.07
Physical Sciences,Upper middle,2748,947,748,1053,Not given,177380,0.015
Social Sciences,Upper middle,9233,3125,1787,4321,Closed Access,10566,0.874
Social Sciences,Upper middle,1312,447,198,667,Open Access,10566,0.124
Social Sciences,Upper middle,21,3,2,16,Not given,10566,0.002
all fields,High,306720,149402,47018,110300,Closed Access,453146,0.677
all fields,High,143812,73270,24020,46522,Open Access,453146,0.317
all fields,High,2614,1290,416,908,Not given,453146,0.006
all fields,Low,873,224,43,606,Closed Access,1120,0.779
all fields,Low,223,40,15,168,Open Access,1120,0.199
all fields,Low,24,9,0,15,Not given,1120,0.021
all fields,Lower Middle,65091,25893,5292,33906,Closed Access,70317,0.926
all fields,Lower Middle,4648,2017,426,2205,Open Access,70317,0.066
all fields,Lower Middle,578,201,29,348,Not given,70317,0.008
all fields,Upper middle,253184,97981,60635,94568,Closed Access,280830,0.902
all fields,Upper middle,23351,9732,5284,8335,Open Access,280830,0.083
all fields,Upper middle,4295,1471,1265,1559,Not given,280830,0.015
