FIELD,INCOME_GROUP,ntotal_gender,n_men,n_women,n_nogender,Model,n_total_models,percent_model
 Multidisciplinary,High,40244,22395,7479,10370,Gold Open Access,44519,0.904
 Multidisciplinary,High,409,275,13,121,Hybrid (Open Choice),44519,0.009
 Multidisciplinary,High,162,88,12,62,Closed Access,44519,0.004
 Multidisciplinary,High,3704,2420,455,829,Not Given,44519,0.083
Health Sciences,High,52819,22865,11166,18788,Gold Open Access,188018,0.281
Health Sciences,High,124169,62561,21494,40114,Hybrid (Open Choice),188018,0.66
Health Sciences,High,7905,4732,1253,1920,Closed Access,188018,0.042
Health Sciences,High,3125,1628,720,777,Not Given,188018,0.017
Life Sciences,High,49841,27373,9784,12684,Gold Open Access,166368,0.3
Life Sciences,High,102374,54459,19920,27995,Hybrid (Open Choice),166368,0.615
Life Sciences,High,3679,2241,647,791,Closed Access,166368,0.022
Life Sciences,High,10474,6502,1777,2195,Not Given,166368,0.063
Physical Sciences,High,46161,26433,6312,13416,Gold Open Access,225730,0.204
Physical Sciences,High,156616,81680,19878,55058,Hybrid (Open Choice),225730,0.694
Physical Sciences,High,8685,5023,988,2674,Closed Access,225730,0.038
Physical Sciences,High,14268,8691,1882,3695,Not Given,225730,0.063
Social Sciences,High,7185,2564,1159,3462,Gold Open Access,78800,0.091
Social Sciences,High,69578,24987,10149,34442,Hybrid (Open Choice),78800,0.883
Social Sciences,High,455,181,38,236,Closed Access,78800,0.006
Social Sciences,High,1582,790,234,558,Not Given,78800,0.02
 Multidisciplinary,Low,23,4,4,15,Gold Open Access,25,0.92
Health Sciences,Low,1727,423,94,1210,Gold Open Access,1903,0.908
Health Sciences,Low,170,35,16,119,Hybrid (Open Choice),1903,0.089
Life Sciences,Low,866,239,46,581,Gold Open Access,1285,0.674
Life Sciences,Low,376,115,25,236,Hybrid (Open Choice),1285,0.293
Life Sciences,Low,42,19,6,17,Not Given,1285,0.033
Physical Sciences,Low,190,40,5,145,Gold Open Access,645,0.295
Physical Sciences,Low,419,92,12,315,Hybrid (Open Choice),645,0.65
Physical Sciences,Low,29,10,2,17,Closed Access,645,0.045
Social Sciences,Low,124,18,6,100,Gold Open Access,278,0.446
Social Sciences,Low,154,31,5,118,Hybrid (Open Choice),278,0.554
Health Sciences,Low,6,5,0,1,Not Given,1903,0.003
Life Sciences,Low,1,1,0,0,Closed Access,1285,0.001
Physical Sciences,Low,7,1,0,6,Not Given,645,0.011
 Multidisciplinary,Low,1,0,0,1,Hybrid (Open Choice),25,0.04
 Multidisciplinary,Low,1,0,0,1,Not Given,25,0.04
 Multidisciplinary,Lower Middle,1700,908,195,597,Gold Open Access,2202,0.772
 Multidisciplinary,Lower Middle,481,182,30,269,Hybrid (Open Choice),2202,0.218
 Multidisciplinary,Lower Middle,20,7,1,12,Not Given,2202,0.009
Health Sciences,Lower Middle,3211,1151,373,1687,Gold Open Access,10272,0.313
Health Sciences,Lower Middle,6814,2871,678,3265,Hybrid (Open Choice),10272,0.663
Health Sciences,Lower Middle,197,73,51,73,Closed Access,10272,0.019
Health Sciences,Lower Middle,50,19,4,27,Not Given,10272,0.005
Life Sciences,Lower Middle,2228,991,229,1008,Gold Open Access,17968,0.124
Life Sciences,Lower Middle,14300,6188,1510,6602,Hybrid (Open Choice),17968,0.796
Life Sciences,Lower Middle,1051,412,152,487,Closed Access,17968,0.058
Life Sciences,Lower Middle,389,159,36,194,Not Given,17968,0.022
Physical Sciences,Lower Middle,2850,1199,343,1308,Gold Open Access,57527,0.05
Physical Sciences,Lower Middle,45330,17740,3255,24335,Hybrid (Open Choice),57527,0.788
Physical Sciences,Lower Middle,8210,3358,751,4101,Closed Access,57527,0.143
Physical Sciences,Lower Middle,1137,446,99,592,Not Given,57527,0.02
Social Sciences,Lower Middle,501,158,40,303,Gold Open Access,4143,0.121
Social Sciences,Lower Middle,3392,1130,274,1988,Hybrid (Open Choice),4143,0.819
Social Sciences,Lower Middle,228,95,39,94,Closed Access,4143,0.055
Social Sciences,Lower Middle,22,7,1,14,Not Given,4143,0.005
 Multidisciplinary,Lower Middle,1,0,0,1,Closed Access,2202,0
 Multidisciplinary,Upper middle,18524,7234,5252,6038,Gold Open Access,19972,0.927
 Multidisciplinary,Upper middle,1085,391,212,482,Hybrid (Open Choice),19972,0.054
 Multidisciplinary,Upper middle,362,125,96,141,Not Given,19972,0.018
Health Sciences,Upper middle,18470,6472,5282,6716,Gold Open Access,49473,0.373
Health Sciences,Upper middle,28104,11319,7143,9642,Hybrid (Open Choice),49473,0.568
Health Sciences,Upper middle,2004,669,510,825,Closed Access,49473,0.041
Health Sciences,Upper middle,895,334,276,285,Not Given,49473,0.018
Life Sciences,Upper middle,25543,9371,7579,8593,Gold Open Access,103611,0.247
Life Sciences,Upper middle,63695,24669,17636,21390,Hybrid (Open Choice),103611,0.615
Life Sciences,Upper middle,10399,3880,2469,4050,Closed Access,103611,0.1
Life Sciences,Upper middle,3974,1667,1117,1190,Not Given,103611,0.038
Physical Sciences,Upper middle,16867,6255,3868,6744,Gold Open Access,284989,0.059
Physical Sciences,Upper middle,177380,69230,40206,67944,Hybrid (Open Choice),284989,0.622
Physical Sciences,Upper middle,80327,35309,10016,35002,Closed Access,284989,0.282
Physical Sciences,Upper middle,10415,3933,2549,3933,Not Given,284989,0.037
